SP27825,SP24708,SP24301,SP27201,SP28791,SP23739,SP24702,SP25332,SP28335,SP26709,SP25350,SP25380,SP24565,SP25833,SP25905,SP26439,SP24236,SP24815,SP27957,SP27603,SP24135,SP26499,SP25518,SP28659,SP23622,SP27939,SP23754,SP29697,SP27339,SP29559,SP29331,SP26475,SP23775,SP28275,SP28581,SP23639,SP24391,SP28041,SP26649
156,155,108,119,60,103,165,36,146,85,126,130,113,140,111,70,211,223,157,164,125,60,180,129,96,70,43,65,93,95,147,132,164,66,93,107,133,185,79
114,125,94,97,50,78,143,26,118,70,91,101,78,140,115,57,217,216,117,137,88,44,151,118,81,65,39,41,66,78,116,113,131,64,67,98,88,180,55
13,15,23,17,8,11,20,2,19,10,15,18,15,17,14,6,37,28,16,22,16,4,17,16,8,8,3,4,5,6,17,14,18,8,8,7,18,22,8
123,106,105,108,50,96,143,11,137,69,100,139,81,147,125,84,271,242,154,142,106,36,197,125,82,52,29,56,68,91,101,109,151,62,63,87,101,193,54
98,86,103,88,35,67,98,27,125,48,94,110,65,105,114,55,183,184,103,100,92,37,174,117,68,50,29,55,57,79,100,100,127,57,72,69,88,148,58
103,86,78,67,25,63,104,6,135,49,80,95,49,126,114,38,169,176,119,109,89,56,141,110,58,37,20,38,51,61,85,100,105,74,64,73,77,148,58
5,10,10,6,3,3,10,1,9,6,5,8,8,10,12,4,18,23,7,12,6,6,15,11,4,9,5,2,10,14,13,10,33,6,12,11,8,18,10
110,96,96,92,38,67,124,23,118,56,84,110,74,131,100,56,234,176,122,117,85,46,158,103,61,47,39,41,49,66,92,100,128,51,63,99,89,166,46
61,61,66,62,31,39,83,24,82,33,57,60,39,75,59,51,103,71,50,60,47,21,83,81,43,37,27,38,40,50,63,68,62,40,42,57,49,87,28
47,56,58,42,25,46,65,12,64,24,47,52,27,60,50,30,90,87,52,58,63,25,89,41,35,32,12,19,35,42,45,66,48,31,45,32,36,79,19
4,10,8,6,3,6,7,2,12,8,3,8,5,11,10,6,9,10,4,9,10,7,8,7,3,5,3,4,1,6,5,11,15,6,6,3,5,7,0
57,66,41,43,34,46,65,12,82,37,63,67,29,67,75,30,105,115,66,62,55,27,80,65,38,27,17,32,38,42,66,55,62,31,35,40,46,88,32
76,84,78,57,40,47,84,21,93,52,59,81,55,108,76,57,143,108,94,89,89,30,99,90,59,50,26,47,45,71,70,67,110,48,71,64,68,105,53
69,69,71,59,19,63,85,22,88,48,62,86,45,66,72,33,132,122,85,86,86,36,102,91,50,43,35,45,40,49,76,83,103,54,62,72,72,86,43
17,9,13,9,3,9,11,4,10,7,8,12,6,10,10,10,11,10,4,19,9,7,8,11,5,8,6,10,15,2,9,5,12,4,6,11,4,11,6
103,92,96,123,48,61,105,35,89,67,72,91,59,105,101,61,198,177,117,90,104,37,152,111,56,54,34,58,66,79,94,104,156,60,55,73,97,148,53
81,62,61,44,27,57,65,7,61,31,53,71,59,61,56,56,101,93,68,72,68,27,97,77,46,41,17,28,37,59,60,51,92,44,53,60,54,73,36
53,23,25,20,16,22,36,5,36,14,19,48,16,24,33,27,51,39,29,40,48,15,31,45,24,16,18,17,23,29,40,31,58,31,29,34,29,38,5
11,12,5,8,7,9,9,1,11,5,5,10,5,12,8,6,13,12,6,12,3,4,11,18,3,6,9,4,3,7,13,5,8,5,2,15,6,9,4
99,45,67,54,29,46,56,8,52,35,58,65,38,52,43,57,96,91,69,69,72,24,96,74,39,44,23,35,26,57,66,50,98,51,56,70,44,92,30
39,25,29,13,13,21,26,4,32,11,29,29,17,45,28,29,47,36,21,29,33,12,32,35,12,19,7,6,20,17,31,26,53,19,25,36,15,30,16
29,19,20,22,14,28,30,5,31,17,22,33,12,30,18,25,37,29,34,26,27,15,30,35,15,24,11,12,14,19,26,22,36,18,19,38,16,25,19
5,8,4,3,2,4,2,0,7,5,4,5,4,8,4,5,7,7,5,6,9,3,9,5,5,4,3,1,7,4,7,2,6,3,3,2,5,5,1
66,28,38,30,18,42,43,13,30,28,24,61,25,43,41,41,61,50,46,36,50,16,46,52,33,34,14,20,23,37,47,27,43,44,36,45,29,48,19
19,9,20,17,9,24,28,7,22,6,12,27,11,21,23,19,23,22,19,13,18,9,15,28,9,15,12,8,20,19,21,12,31,13,17,20,21,15,11
31,13,16,17,16,18,25,8,23,12,14,24,12,28,15,19,23,28,17,21,30,17,26,27,11,12,11,11,12,19,15,20,35,21,18,15,20,20,11
4,4,2,3,1,4,3,3,3,1,4,3,1,2,2,2,6,5,2,2,5,1,3,3,7,0,3,6,2,1,4,4,7,1,1,2,3,5,5
38,16,22,11,14,26,32,6,30,15,17,35,16,32,24,24,42,41,33,22,42,18,39,31,17,17,14,7,15,28,40,20,43,18,25,31,27,37,17
66,39,57,36,14,61,78,12,44,20,32,96,24,61,45,39,62,89,68,43,51,32,42,58,38,34,25,23,25,39,56,38,127,31,51,51,37,37,31
75,27,41,30,18,50,66,7,44,26,31,55,30,54,44,55,64,61,55,45,49,27,41,55,29,30,21,18,17,29,36,31,91,32,34,40,23,32,31
5,5,5,5,5,4,3,0,9,4,6,9,9,5,8,3,5,5,4,5,6,2,2,6,4,3,2,0,6,6,10,3,6,3,2,6,3,7,6
184,79,123,52,69,96,145,23,88,54,78,176,77,110,82,92,143,186,132,108,115,51,123,147,72,62,39,46,48,114,86,89,191,81,110,106,86,88,59
162,234,164,150,74,198,160,49,178,92,160,169,129,142,146,102,221,237,170,183,253,87,246,235,115,147,60,114,122,105,192,140,217,132,179,129,176,241,97
75,89,51,62,30,105,89,19,88,61,57,55,60,73,59,41,100,97,69,82,85,44,95,97,58,65,24,59,65,53,84,59,104,69,74,81,68,96,54
1026,1045,1027,1091,218,631,724,188,810,441,987,953,786,542,580,258,1230,1248,1283,1143,1127,408,1326,1363,656,995,455,554,784,189,978,544,1138,867,1041,974,961,1771,894
87,162,117,95,59,155,124,29,136,69,105,80,68,124,120,69,177,175,105,132,143,66,178,137,73,78,33,63,76,63,117,109,167,95,117,121,86,174,63
92,143,89,73,43,192,98,28,163,64,103,87,75,92,76,63,101,126,87,131,176,63,197,147,62,84,36,71,82,71,111,66,173,122,121,101,92,155,49
91,155,99,108,63,235,113,40,217,90,110,84,86,104,80,68,79,143,89,161,236,65,214,203,92,111,55,76,70,76,100,67,126,129,180,100,96,204,65
358,384,351,367,117,270,267,75,303,170,333,383,254,196,238,123,406,388,424,404,385,161,487,495,200,331,173,224,247,77,372,177,395,318,378,358,329,619,275
96,183,131,108,61,151,129,39,174,99,147,140,108,140,151,86,160,217,124,165,207,80,207,215,107,121,57,96,113,98,176,115,175,133,176,153,134,170,79
77,95,90,66,30,88,86,31,94,57,82,85,60,64,70,53,72,108,72,95,101,37,90,85,46,66,48,60,54,72,103,61,108,82,71,65,67,81,52
86,95,88,83,41,66,82,26,94,81,104,77,76,84,99,93,97,101,115,105,95,48,112,123,53,92,54,67,67,54,100,88,115,121,81,90,85,79,51
507,577,501,524,130,368,364,99,424,252,493,551,391,314,317,221,532,609,639,568,556,217,709,690,317,515,202,340,372,141,516,277,523,505,503,520,461,871,411
71,98,91,80,36,81,80,20,107,55,121,66,72,107,75,83,117,141,80,94,90,65,109,133,72,98,57,56,63,85,108,79,88,116,90,86,98,98,49
106,100,87,65,61,175,101,28,139,71,95,101,48,96,62,41,103,222,99,142,198,55,162,143,68,75,47,63,73,49,94,82,203,77,164,119,81,129,64
107,120,84,90,43,136,87,26,135,89,94,95,66,104,85,67,125,182,114,94,174,57,134,142,63,91,57,67,91,87,79,82,146,110,129,101,88,134,56
324,323,308,332,82,213,207,73,242,146,303,346,254,175,174,104,376,371,383,353,349,118,409,375,201,282,140,184,233,67,260,167,364,288,293,284,269,551,272
112,140,112,94,71,149,111,36,162,78,120,114,98,120,98,68,176,239,143,118,191,59,174,153,65,89,48,77,79,76,117,103,153,100,113,100,101,189,68
85,61,71,58,46,49,102,17,94,52,63,83,49,65,47,24,98,90,80,83,70,33,100,71,50,32,34,28,47,55,49,51,101,48,57,71,56,99,39
52,36,41,38,20,39,40,17,50,25,43,41,33,50,38,31,55,71,42,44,45,21,52,44,16,17,18,24,19,24,44,49,63,24,31,39,36,51,18
62,52,39,37,30,36,65,12,58,39,45,60,53,75,60,33,102,96,59,69,56,27,83,58,33,37,16,11,37,45,56,42,83,34,44,40,57,84,37
106,78,77,78,39,65,101,17,104,59,89,114,50,91,67,49,164,151,90,100,80,22,115,100,51,38,35,40,61,71,75,75,122,57,79,71,85,123,43
55,42,45,23,20,37,59,7,44,22,43,40,37,55,47,30,90,65,66,70,41,13,78,49,34,22,16,17,30,32,42,42,73,30,39,46,42,61,33
57,61,44,60,19,37,78,10,75,30,51,55,31,74,48,23,136,115,55,92,47,28,93,68,47,34,17,29,36,43,58,64,86,34,54,40,44,103,36
54,55,44,36,21,50,69,8,77,31,50,55,35,65,45,34,102,96,54,77,62,21,91,65,40,34,11,22,31,31,73,67,97,29,34,57,48,84,31
113,112,78,76,36,65,105,10,113,45,90,129,65,105,93,36,192,158,97,113,83,44,147,126,67,50,40,32,62,47,111,86,141,54,68,64,69,170,51
18,29,26,18,15,22,41,4,40,13,27,38,16,31,16,14,56,49,35,34,32,13,31,31,16,20,9,14,15,24,36,21,34,17,19,26,26,29,15
28,23,21,12,15,23,31,5,31,13,20,33,14,38,15,19,43,39,21,18,24,5,28,29,11,13,9,9,15,21,32,29,31,11,20,17,19,35,8
37,25,28,34,11,38,25,6,25,20,30,25,25,36,32,30,42,65,36,37,28,14,52,32,32,21,7,10,15,31,31,38,42,15,25,30,17,43,25
72,65,45,48,23,42,54,4,66,33,51,74,51,68,51,21,130,118,65,63,44,26,107,72,49,32,12,23,42,47,54,47,81,30,46,45,54,89,24
90,54,60,58,25,38,71,14,69,34,54,82,41,65,53,34,118,107,58,66,67,20,75,79,56,31,23,37,44,55,66,64,94,31,40,66,66,102,26
42,48,36,37,18,43,78,9,53,25,28,51,27,58,34,22,95,99,47,70,58,13,70,43,25,23,15,24,28,26,41,49,60,23,43,37,40,58,26
52,40,34,23,17,18,52,6,35,19,25,44,22,39,36,19,63,75,40,29,36,10,58,41,28,17,19,13,19,33,36,42,51,24,36,19,34,46,17
134,108,106,87,44,75,137,19,124,63,100,112,89,135,102,52,295,197,128,139,127,55,206,136,76,51,30,50,72,90,128,104,168,48,87,108,96,165,65
176,110,151,103,88,114,194,47,148,104,107,144,114,134,110,155,178,190,135,185,143,74,195,229,90,98,53,70,106,132,145,124,454,132,153,139,128,165,97
73,47,56,54,48,58,78,9,61,42,44,68,50,49,61,78,109,105,73,57,63,31,86,117,37,38,28,33,45,65,73,46,268,35,60,64,73,73,33
116,87,117,65,52,95,153,38,92,63,105,93,68,99,68,104,124,154,82,119,101,46,129,150,62,91,44,37,66,86,107,92,209,85,88,104,89,117,76
179,133,145,117,92,152,234,38,156,110,153,174,116,138,109,170,199,227,162,157,172,78,213,209,121,97,60,95,121,141,179,124,319,125,139,145,144,225,101
73,43,49,46,29,41,59,8,49,36,36,52,29,34,36,54,59,52,50,55,42,23,55,63,33,34,25,37,25,54,54,35,108,39,61,41,47,60,29
98,62,59,61,59,64,93,16,93,39,47,107,41,83,57,87,110,98,81,104,62,22,105,119,54,39,18,44,42,68,59,55,166,48,65,77,62,102,38
76,32,50,39,36,41,56,17,52,28,32,60,37,49,30,71,55,74,45,64,51,26,63,49,28,23,17,22,22,67,56,37,79,31,48,40,43,70,23
94,60,58,62,33,68,93,12,87,47,47,99,49,61,58,90,90,79,88,84,71,35,96,97,42,55,25,42,53,69,77,78,122,58,68,64,62,119,39
78,40,44,62,41,45,69,15,60,45,44,69,38,50,41,82,77,82,64,67,58,39,81,90,45,44,22,33,40,70,55,52,378,45,67,54,54,75,37
49,37,36,30,42,43,57,9,58,32,33,41,26,44,32,85,63,57,47,40,40,17,56,55,28,22,27,24,24,70,50,22,290,37,55,45,40,51,30
65,31,42,47,34,50,59,7,48,26,33,60,42,52,47,72,52,76,42,69,54,28,75,91,35,30,22,25,25,57,44,35,211,41,41,56,33,65,32
94,58,82,64,39,68,145,31,76,53,57,97,56,72,60,89,105,83,85,77,80,47,87,131,43,52,28,43,54,73,84,72,288,53,91,66,81,113,41
119,51,64,57,46,67,58,15,80,49,68,102,51,47,59,86,82,103,73,58,79,34,77,84,50,42,31,32,57,79,61,50,170,62,75,62,58,70,32
102,70,60,61,58,55,83,12,78,43,67,88,52,71,62,98,97,110,68,87,58,41,108,105,38,44,36,34,50,92,74,64,183,57,62,54,64,92,33
78,29,36,35,25,43,53,12,45,38,38,39,28,28,24,54,63,79,36,46,45,18,42,65,24,30,13,18,26,63,59,31,74,35,43,51,36,65,26
153,97,106,73,55,111,119,28,122,65,83,130,80,89,80,106,139,135,100,124,92,49,132,123,69,70,43,46,74,103,121,78,183,88,110,109,93,148,66
40,31,35,21,20,29,40,10,60,18,41,41,26,53,10,21,64,50,47,41,34,20,40,43,31,16,12,21,26,28,33,43,45,46,29,39,21,42,23
16,12,9,9,8,13,12,4,13,13,12,16,6,22,15,9,20,22,13,13,9,3,17,23,9,11,5,2,10,10,11,14,28,10,12,12,15,15,9
24,35,32,29,14,31,39,8,32,17,43,28,18,28,25,17,56,45,32,30,34,12,47,34,20,15,10,8,21,12,37,19,42,27,21,26,36,40,17
33,28,30,24,9,23,27,8,28,10,30,38,22,24,11,31,49,42,32,25,42,19,38,52,20,14,17,18,23,22,31,26,64,23,26,40,25,41,21
11,15,18,9,5,18,25,0,14,5,9,13,8,13,6,5,17,17,6,10,19,3,16,18,8,7,4,7,6,8,12,15,28,8,14,12,7,17,10
20,19,10,14,4,18,20,2,16,9,15,20,10,13,9,14,21,22,22,16,21,4,20,17,11,10,11,10,12,14,18,17,36,16,19,15,20,18,8
23,22,16,15,10,21,33,8,21,16,18,27,12,29,30,16,49,33,23,23,22,6,30,30,17,12,5,11,12,17,33,19,31,22,21,20,26,38,12
31,23,30,17,7,27,30,8,26,14,21,27,10,20,29,17,33,26,32,29,38,12,31,34,20,16,14,20,17,25,23,19,43,29,15,17,25,42,16
7,15,11,10,3,9,15,3,19,7,10,10,2,13,8,12,16,20,16,17,12,4,13,13,10,8,5,4,7,6,9,10,20,5,3,10,10,8,3
9,7,10,12,5,4,10,3,7,2,6,3,6,11,4,8,12,9,11,11,11,1,9,10,5,5,2,3,4,6,5,8,19,12,7,6,4,9,5
19,28,20,24,14,18,36,1,25,9,16,33,17,16,23,18,49,30,23,33,29,13,31,34,19,18,7,5,14,13,24,38,28,19,25,24,19,43,16
11,17,13,19,4,14,31,3,20,14,14,15,5,35,14,13,32,27,22,13,19,7,18,24,14,6,13,13,10,19,15,18,25,13,20,11,16,27,3
33,22,21,22,10,30,30,3,38,17,18,42,20,23,25,14,31,30,25,34,29,13,32,34,29,20,15,18,10,22,24,24,41,29,29,24,18,33,18
23,17,13,18,11,13,13,4,22,12,15,12,22,22,15,14,11,18,21,13,27,8,21,36,11,8,9,7,10,19,27,16,25,15,21,17,12,27,10
34,31,31,28,13,20,35,8,28,9,25,31,31,37,25,23,47,44,40,33,40,19,47,49,14,21,8,12,31,32,27,44,50,18,18,23,29,54,21
73,38,58,32,31,51,64,15,54,37,64,73,46,48,40,47,83,65,44,70,62,31,67,90,35,36,18,26,31,62,69,49,98,35,60,54,45,81,36
